Ind1_Long_Acc_Choice1,Ind2_Long_Acc_Choice1,Dyad_Long_Acc_Choice1,Ind1_Long_Acc_Choice2,Ind2_Long_Acc_Choice2,Dyad_Long_Acc_Choice2,Ind1_Long_Acc_Choice3,Ind2_Long_Acc_Choice3,Dyad_Long_Acc_Choice3,Ind1_Long_Acc_Choice4,Ind2_Long_Acc_Choice4,Dyad_Long_Acc_Choice4,Ind1_Long_Acc_Choice5,Ind2_Long_Acc_Choice5,Dyad_Long_Acc_Choice5,Ind1_Long_Acc_Choice6,Ind2_Long_Acc_Choice6,Dyad_Long_Acc_Choice6,Ind1_Short_Acc,Ind2_Short_Acc,Dyad_Short_Acc
0.825,0.825,0.85,0.8125,0.85,0.8625,0.825,0.8625,0.8875,0.7875,0.85,0.8875,0.8,0.8875,0.95,0.8625,0.8875,0.9,0.7875,0.8125,0.875
0.85,0.8125,0.7875,0.85,0.8125,0.825,0.9,0.85,0.8375,0.9125,0.85,0.875,0.9125,0.825,0.8625,0.9375,0.8125,0.825,0.875,0.85,0.8125
0.7,0.8375,0.8375,0.7625,0.8375,0.8625,0.8125,0.85,0.8875,0.725,0.8625,0.875,0.8125,0.875,0.925,0.7375,0.9125,0.9,0.7625,0.7875,0.875
0.7625,0.7,0.8125,0.8,0.775,0.7875,0.75,0.8125,0.75,0.85,0.8125,0.825,0.875,0.825,0.825,0.875,0.8125,0.8875,0.825,0.8,0.775
0.85,0.8375,0.8125,0.8,0.85,0.9,0.7875,0.875,0.8625,0.8625,0.875,0.9,0.8375,0.875,0.9125,0.825,0.875,0.875,0.8,0.8875,0.8875
0.8625,0.875,0.85,0.8875,0.8375,0.825,0.9375,0.8,0.8375,0.8875,0.7875,0.85,0.9375,0.8625,0.9125,0.9625,0.9,0.9125,0.8875,0.825,0.8625
0.725,0.45,0.9125,0.8125,0.55,0.8875,0.8625,0.5,0.9125,0.8125,0.5125,0.9125,0.775,0.4375,0.95,0.8875,0.4375,0.9375,0.85,0.5375,0.8125
0.6375,0.7875,0.5125,0.8625,0.7875,0.7875,0.8625,0.8625,0.8375,0.9,0.825,0.875,0.9125,0.8375,0.9125,0.9125,0.85,0.925,0.8875,0.825,0.8
0.725,0.6125,0.675,0.8,0.8,0.7875,0.8125,0.825,0.8,0.8625,0.925,0.85,0.8375,0.9125,0.8375,0.875,0.9,0.8625,0.8875,0.8125,0.7625
0.775,0.675,0.9,0.6875,0.85,0.875,0.8125,0.8375,0.95,0.7625,0.85,0.9375,0.8375,0.8625,0.9375,0.8,0.875,0.9625,0.75,0.7875,0.875
0.85,0.6625,0.475,0.8125,0.7625,0.7625,0.8625,0.8,0.7375,0.8875,0.7625,0.875,0.9375,0.725,0.825,0.925,0.925,0.9375,0.875,0.85,0.8375
0.825,0.675,0.8125,0.8375,0.8625,0.8875,0.8625,0.775,0.8875,0.7875,0.825,0.875,0.825,0.875,0.8875,0.825,0.7875,0.8875,0.725,0.7875,0.875
0.825,0.775,0.875,0.875,0.9,0.75,0.9,0.9,0.7125,0.9,0.8625,0.7875,0.8625,0.8625,0.8,0.875,0.8375,0.8125,0.9125,0.925,0.85
0.5875,0.875,0.8875,0.6875,0.9125,0.85,0.7625,0.9375,0.8625,0.6625,0.925,0.8875,0.75,0.9375,0.925,0.875,0.9375,0.925,0.7875,0.85,0.825
0.7875,0.775,0.875,0.6625,0.7625,0.8375,0.7375,0.7625,0.9125,0.6625,0.6625,0.925,0.7,0.725,0.925,0.8625,0.7625,0.9625,0.8125,0.775,0.9
0.7875,0.8125,0.7875,0.8125,0.8375,0.8625,0.7875,0.825,0.85,0.85,0.8625,0.85,0.825,0.85,0.8125,0.8625,0.8625,0.8625,0.8,0.85,0.9125
0.625,0.75,0.8875,0.75,0.875,0.8625,0.7375,0.9375,0.8875,0.7875,0.925,0.925,0.7875,0.9125,0.9625,0.8125,0.9,0.9625,0.8375,0.9,0.875
